NRKARTY;DATAW;MASA;JEDN;FIRMA;NR_KLIENTA;NR_ODPADU;NR_MAGW
1040/0W/2006;13.07.2006;0,060;Mg.;0;644;360;4 485
1041/0W/2006;13.07.2006;0,402;Mg.;0;644;376;4 486
1042/0W/2006;13.07.2006;0,049;Mg.;0;644;384;4 487
1043/0W/2006;13.07.2006;2,666;Mg.;0;644;496;4 488
1044/0W/2006;13.07.2006;3,475;Mg.;0;644;564;4 489
1045/0W/2006;13.07.2006;5,203;Mg.;0;644;565;4 490
1046/0W/2006;13.07.2006;2,276;Mg.;0;644;568;4 491
1047/0W/2006;18.07.2006;2,890;Mg.;0;769;564;4 492
1048/0W/2006;18.07.2006;4,250;Mg.;0;769;565;4 493
1049/0W/2006;18.07.2006;6,120;Mg.;0;769;566;4 494
1050/0W/2006;18.07.2006;3,160;Mg.;0;769;568;4 495
1051/0W/2006;18.07.2006;2,800;Mg.;0;769;180;4 496
1052/0W/2006;18.07.2006;2,000;Mg.;0;769;271;4 497
1053/0W/2006;18.07.2006;2,000;Mg.;0;769;330;4 498
1054/0W/2006;18.07.2006;0,149;Mg.;0;769;351;4 499
1055/0W/2006;18.07.2006;1,000;Mg.;0;769;357;4 500
1056/0W/2006;18.07.2006;1,891;Mg.;0;769;505;4 501
1057/0W/2006;20.07.2006;8,160;Mg.;0;769;566;4 502
1058/0W/2006;20.07.2006;3,750;Mg.;0;769;565;4 503
1059/0W/2006;20.07.2006;3,240;Mg.;0;769;568;4 504
1060/0W/2006;20.07.2006;3,950;Mg.;0;769;505;4 505
1061/0W/2006;20.07.2006;2,200;Mg.;0;2 001;180;4 506
1062/0W/2006;20.07.2006;2,000;Mg.;0;2 001;271;4 507
1063/0W/2006;20.07.2006;2,159;Mg.;0;2 001;505;4 508
1064/0W/2006;20.07.2006;0,460;Mg.;0;2 001;512;4 509
1065/0W/2006;20.07.2006;5,110;Mg.;0;2 001;564;4 510
1066/0W/2006;20.07.2006;3,000;Mg.;0;2 001;565;4 511
1067/0W/2006;20.07.2006;0,000;Mg.;0;2 001;567;4 512
1068/0W/2006;30.09.2006;42,378;Mg.;0;827;564;4 513
1069/0W/2006;31.10.2006;12,363;Mg.;0;827;564;4 514
1070/0W/2006;30.09.2006;13,510;Mg.;0;827;565;4 515
1071/0W/2006;31.10.2006;6,478;Mg.;0;827;565;4 516
1072/0W/2006;31.10.2006;30,630;Mg.;0;827;570;4 517
530/1W/2006;24.10.2006;4,460;Mg.;1;1 431;565;4 518
531/1W/2006;16.10.2006;12,420;Mg.;1;1 892;565;4 519
532/1W/2006;16.10.2006;1,910;Mg.;1;396;565;4 520
533/1W/2006;23.10.2006;6,460;Mg.;1;3 481;570;4 521
534/1W/2006;19.10.2006;5,560;Mg.;1;2 001;579;4 522
1073/0W/2006;11.10.2006;6,820;Mg.;0;4 059;814;4 523
1074/0W/2006;12.10.2006;8,140;Mg.;0;4 059;814;4 524
1075/0W/2006;20.10.2006;7,640;Mg.;0;4 059;814;4 525
1076/0W/2006;30.10.2006;6,800;Mg.;0;4 059;814;4 526
1077/0W/2006;06.11.2006;6,018;Mg.;0;4 059;814;4 527
1078/0W/2006;06.11.2006;0,182;Mg.;0;4 059;592;4 528
1079/0W/2006;31.10.2006;1,653;Mg.;0;4 059;592;4 529
1080/0W/2006;31.10.2006;0,090;Mg.;0;4 059;593;4 530
1081/0W/2006;31.10.2006;5,856;Mg.;0;4 059;567;4 531
535/1W/2006;30.10.2006;5,020;Mg.;1;2 001;579;4 532
536/1W/2006;06.11.2006;10,180;Mg.;1;1 759;579;4 533
537/1W/2006;07.11.2006;7,570;Mg.;1;1 759;579;4 534
1082/0W/2006;08.11.2006;9,700;Mg.;0;655;626;4 535
538/1W/2006;07.11.2006;6,040;Mg.;1;2 208;564;4 536
539/1W/2006;07.11.2006;3,900;Mg.;1;2 208;564;4 537
540/1W/2006;16.10.2006;14,520;Mg.;1;2 001;579;4 538
541/1W/2006;24.10.2006;15,760;Mg.;1;1 756;570;4 539
542/1W/2006;11.08.2006;0,000;Mg.;1;2 363;564;4 540
543/1W/2006;18.09.2006;21,240;Mg.;1;2 514;564;4 541
544/1W/2006;10.10.2006;60,300;Mg.;1;2 514;564;4 542
545/1W/2006;09.11.2006;6,470;Mg.;1;2 208;564;4 543
546/1W/2006;25.10.2006;1,710;Mg.;1;313;565;4 544
547/1W/2006;23.10.2006;7,840;Mg.;1;2 001;579;4 545
1083/0W/2006;09.11.2006;5,127;Mg.;0;3 073;589;4 546
1084/0W/2006;03.10.2006;7,235;Mg.;0;1 539;688;4 547
1085/0W/2006;03.10.2006;4,030;Mg.;0;1 539;710;4 548
1086/0W/2006;03.10.2006;5,910;Mg.;0;1 539;702;4 549
1087/0W/2006;16.10.2006;1,470;Mg.;0;1 539;793;4 550
1088/0W/2006;16.10.2006;2,624;Mg.;0;1 539;610;4 551
1089/0W/2006;16.10.2006;0,980;Mg.;0;1 539;587;4 552
1090/0W/2006;16.10.2006;0,740;Mg.;0;1 539;662;4 553
1091/0W/2006;16.10.2006;0,440;Mg.;0;1 539;710;4 554
1092/0W/2006;19.10.2006;4,150;Mg.;0;1 539;699;4 555
1093/0W/2006;19.10.2006;5,250;Mg.;0;1 539;719;4 556
1094/0W/2006;19.10.2006;0,095;Mg.;0;1 539;673;4 557
1095/0W/2006;19.10.2006;1,710;Mg.;0;1 539;587;4 558
1096/0W/2006;19.10.2006;0,280;Mg.;0;1 539;812;4 559
1097/0W/2006;25.10.2006;9,880;Mg.;0;1 539;803;4 560
1098/0W/2006;25.10.2006;0,790;Mg.;0;1 539;801;4 561
1099/0W/2006;25.10.2006;0,850;Mg.;0;1 539;809;4 562
1100/0W/2006;25.10.2006;0,282;Mg.;0;1 539;763;4 563
1101/0W/2006;25.10.2006;0,200;Mg.;0;1 539;662;4 564
1102/0W/2006;25.10.2006;22,060;Mg.;0;1 539;792;4 565
1103/0W/2006;25.10.2006;28,040;Mg.;0;1 539;792;4 566
1104/0W/2006;27.10.2006;20,090;Mg.;0;1 539;830;4 567
1105/0W/2006;27.10.2006;0,620;Mg.;0;1 539;607;4 568
1106/0W/2006;27.10.2006;0,400;Mg.;0;1 539;70;4 569
1107/0W/2006;27.10.2006;0,400;Mg.;0;1 539;102;4 570
1108/0W/2006;30.10.2006;10,000;Mg.;0;1 539;803;4 571
1109/0W/2006;30.10.2006;6,940;Mg.;0;1 539;665;4 572
1110/0W/2006;14.09.2006;55,200;Mg.;0;1 494;531;4 573
1111/0W/2006;21.09.2006;52,900;Mg.;0;1 494;531;4 574
1112/0W/2006;25.09.2006;54,950;Mg.;0;3 595;531;4 575
1113/0W/2006;26.09.2006;57,750;Mg.;0;3 595;531;4 576
1114/0W/2006;05.10.2006;46,400;Mg.;0;1 494;531;4 577
1115/0W/2006;13.11.2006;0,160;Mg.;0;4 095;370;4 578
1116/0W/2006;09.11.2006;14,860;Mg.;0;1 900;500;4 579
1117/0W/2006;09.11.2006;10,540;Mg.;0;3 737;548;4 580
548/1W/2006;31.10.2006;18,900;Mg.;1;2 382;579;4 581
549/1W/2006;31.10.2006;7,980;Mg.;1;2 382;579;4 582
550/1W/2006;31.10.2006;7,340;Mg.;1;1 759;579;4 583
551/1W/2006;25.10.2006;7,699;Mg.;1;1 762;565;4 584
552/1W/2006;31.10.2006;21,440;Mg.;1;2 013;579;4 585
553/1W/2006;26.10.2006;15,660;Mg.;1;3 014;564;4 586
554/1W/2006;03.11.2006;1,570;Mg.;1;1 897;565;4 587
555/1W/2006;17.10.2006;4,880;Mg.;1;2 001;579;4 588
556/1W/2006;18.10.2006;2,200;Mg.;1;2 001;579;4 589
557/1W/2006;24.10.2006;3,900;Mg.;1;2 001;579;4 590
1118/0W/2006;13.11.2006;0,920;Mg.;0;643;594;4 591
1119/0W/2006;14.11.2006;0,880;Mg.;0;643;594;4 592
1120/0W/2006;08.11.2006;3,460;Mg.;0;2 000;708;4 593
1121/0W/2006;13.11.2006;6,360;Mg.;0;2 000;708;4 594
1122/0W/2006;10.10.2006;49,800;Mg.;0;1 494;531;4 595
1123/0W/2006;12.10.2006;51,950;Mg.;0;1 494;531;4 596
558/1W/2006;17.08.2006;12,890;Mg.;1;3 481;570;4 597
559/1W/2006;07.07.2006;2,520;Mg.;1;3 481;570;4 598
560/1W/2006;12.07.2006;2,500;Mg.;1;3 481;570;4 599
561/1W/2006;13.07.2006;19,200;Mg.;1;3 481;570;4 600
562/1W/2006;12.07.2006;20,890;Mg.;1;324;570;4 601
563/1W/2006;18.05.2006;10,010;Mg.;1;1 762;565;4 602
564/1W/2006;11.05.2006;7,380;Mg.;1;2 013;579;4 603
565/1W/2006;18.04.2006;6,700;Mg.;1;2 013;579;4 604
566/1W/2006;10.04.2006;7,600;Mg.;1;2 001;579;4 605
567/1W/2006;17.02.2006;0,868;Mg.;1;2 363;564;4 606
568/1W/2006;02.03.2006;4,200;Mg.;1;2 363;570;4 607
1124/0W/2006;24.07.2006;1,000;Mg.;0;769;180;4 608
1125/0W/2006;24.07.2006;1,500;Mg.;0;769;271;4 609
1126/0W/2006;24.07.2006;3,000;Mg.;0;769;345;4 610
1127/0W/2006;24.07.2006;4,000;Mg.;0;769;512;4 611
1128/0W/2006;24.07.2006;7,259;Mg.;0;769;564;4 612
1129/0W/2006;24.07.2006;2,501;Mg.;0;769;565;4 613
1130/0W/2006;25.07.2006;5,000;Mg.;0;769;651;4 614
1131/0W/2006;25.07.2006;0,020;Mg.;0;769;686;4 615
1132/0W/2006;25.07.2006;2,500;Mg.;0;769;271;4 616
1133/0W/2006;25.07.2006;1,000;Mg.;0;769;330;4 617
1134/0W/2006;25.07.2006;9,620;Mg.;0;769;565;4 618
1135/0W/2006;01.08.2006;3,000;Mg.;0;2 125;345;4 619
1136/0W/2006;01.08.2006;6,470;Mg.;0;2 125;507;4 620
1137/0W/2006;01.08.2006;1,000;Mg.;0;2 125;505;4 621
1138/0W/2006;01.08.2006;2,891;Mg.;0;2 125;565;4 622
1139/0W/2006;01.08.2006;0,679;Mg.;0;2 125;568;4 623
1140/0W/2006;02.08.2006;3,500;Mg.;0;2 125;579;4 624
1141/0W/2006;02.08.2006;5,000;Mg.;0;2 125;564;4 625
1142/0W/2006;02.08.2006;7,000;Mg.;0;2 125;565;4 626
1143/0W/2006;02.08.2006;1,740;Mg.;0;2 125;568;4 627
1144/0W/2006;02.08.2006;4,000;Mg.;0;2 125;566;4 628
1145/0W/2006;02.08.2006;7,581;Mg.;0;2 125;568;4 629
1146/0W/2006;02.08.2006;4,259;Mg.;0;2 125;579;4 630
1147/0W/2006;04.08.2006;2,000;Mg.;0;2 125;180;4 631
1148/0W/2006;04.08.2006;5,000;Mg.;0;2 125;271;4 632
1149/0W/2006;04.08.2006;3,000;Mg.;0;2 125;330;4 633
1150/0W/2006;04.08.2006;2,000;Mg.;0;2 125;345;4 634
1151/0W/2006;04.08.2006;7,000;Mg.;0;2 125;505;4 635
1152/0W/2006;04.08.2006;0,920;Mg.;0;2 125;565;4 636
1153/0W/2006;07.08.2006;1,000;Mg.;0;2 125;180;4 637
1154/0W/2006;07.08.2006;5,000;Mg.;0;2 125;271;4 638
1155/0W/2006;07.08.2006;5,000;Mg.;0;2 125;564;4 639
1156/0W/2006;07.08.2006;4,080;Mg.;0;2 125;565;4 640
1157/0W/2006;07.08.2006;0,300;Mg.;0;2 125;579;4 641
1158/0W/2006;07.08.2006;4,320;Mg.;0;2 125;566;4 642
1159/0W/2006;07.08.2006;2,000;Mg.;0;2 125;564;4 643
1160/0W/2006;07.08.2006;6,000;Mg.;0;2 125;565;4 644
1161/0W/2006;07.08.2006;2,000;Mg.;0;2 125;568;4 645
1162/0W/2006;08.08.2006;5,000;Mg.;0;2 125;271;4 646
1163/0W/2006;08.08.2006;5,000;Mg.;0;2 125;330;4 647
1164/0W/2006;08.08.2006;5,680;Mg.;0;2 125;566;4 648
1165/0W/2006;08.08.2006;8,000;Mg.;0;2 125;568;4 649
1166/0W/2006;08.08.2006;3,020;Mg.;0;2 125;564;4 650
1167/0W/2006;08.08.2006;0,097;Mg.;0;2 125;140;4 651
1168/0W/2006;08.08.2006;0,145;Mg.;0;2 125;143;4 652
1169/0W/2006;08.08.2006;0,080;Mg.;0;2 125;151;4 653
1170/0W/2006;08.08.2006;2,823;Mg.;0;2 125;271;4 654
1171/0W/2006;08.08.2006;0,980;Mg.;0;2 125;277;4 655
1172/0W/2006;08.08.2006;5,529;Mg.;0;2 125;330;4 656
1173/0W/2006;08.08.2006;1,483;Mg.;0;2 125;345;4 657
1174/0W/2006;08.08.2006;4,739;Mg.;0;2 125;564;4 658
1175/0W/2006;08.08.2006;4,527;Mg.;0;2 125;565;4 659
1176/0W/2006;08.08.2006;0,147;Mg.;0;2 125;566;4 660
1177/0W/2006;09.08.2006;5,000;Mg.;0;2 125;271;4 661
1178/0W/2006;09.08.2006;1,000;Mg.;0;2 125;347;4 662
1179/0W/2006;09.08.2006;1,200;Mg.;0;2 125;349;4 663
1180/0W/2006;09.08.2006;1,858;Mg.;0;2 125;355;4 664
1181/0W/2006;09.08.2006;0,150;Mg.;0;2 125;360;4 665
1182/0W/2006;09.08.2006;0,080;Mg.;0;2 125;384;4 666
1183/0W/2006;09.08.2006;0,235;Mg.;0;2 125;402;4 667
1184/0W/2006;09.08.2006;6,637;Mg.;0;2 125;568;4 668
1185/0W/2006;10.08.2006;6,000;Mg.;0;2 125;180;4 669
1186/0W/2006;10.08.2006;5,000;Mg.;0;2 125;271;4 670
1187/0W/2006;10.08.2006;10,990;Mg.;0;2 125;566;4 671
1188/0W/2006;11.08.2006;3,468;Mg.;0;2 125;594;4 672
1189/0W/2006;11.08.2006;2,700;Mg.;0;2 125;651;4 673
1190/0W/2006;11.08.2006;9,839;Mg.;0;2 125;566;4 674
1191/0W/2006;11.08.2006;3,633;Mg.;0;2 125;568;4 675
1192/0W/2006;16.08.2006;0,650;Mg.;0;2 125;351;4 676
1193/0W/2006;16.08.2006;1,200;Mg.;0;2 125;357;4 677
1194/0W/2006;16.08.2006;0,400;Mg.;0;2 125;363;4 678
1195/0W/2006;16.08.2006;0,045;Mg.;0;2 125;365;4 679
1196/0W/2006;16.08.2006;2,740;Mg.;0;2 125;367;4 680
1197/0W/2006;16.08.2006;0,800;Mg.;0;2 125;378;4 681
1198/0W/2006;16.08.2006;1,120;Mg.;0;2 125;376;4 682
1199/0W/2006;16.08.2006;9,000;Mg.;0;2 125;566;4 683
1200/0W/2006;16.08.2006;5,635;Mg.;0;2 125;564;4 684
1201/0W/2006;16.08.2006;5,000;Mg.;0;2 125;271;4 685
1202/0W/2006;16.08.2006;2,000;Mg.;0;2 125;345;4 686
1203/0W/2006;16.08.2006;1,810;Mg.;0;2 125;496;4 687
1204/0W/2006;16.08.2006;2,459;Mg.;0;2 125;511;4 688
1205/0W/2006;16.08.2006;9,421;Mg.;0;2 125;564;4 689
1206/0W/2006;18.08.2006;2,000;Mg.;0;2 125;271;4 690
1207/0W/2006;18.08.2006;1,000;Mg.;0;2 125;345;4 691
1208/0W/2006;18.08.2006;1,944;Mg.;0;2 125;564;4 692
1209/0W/2006;18.08.2006;2,712;Mg.;0;2 125;568;4 693
1210/0W/2006;18.08.2006;2,744;Mg.;0;2 125;566;4 694
1211/0W/2006;18.08.2006;3,000;Mg.;0;2 125;271;4 695
1212/0W/2006;18.08.2006;2,000;Mg.;0;2 125;345;4 696
1213/0W/2006;18.08.2006;1,000;Mg.;0;2 125;505;4 697
1214/0W/2006;18.08.2006;2,000;Mg.;0;2 125;507;4 698
1215/0W/2006;18.08.2006;2,200;Mg.;0;2 125;594;4 699
1216/0W/2006;18.08.2006;5,000;Mg.;0;2 125;564;4 700
1217/0W/2006;18.08.2006;2,000;Mg.;0;2 125;565;4 701
1218/0W/2006;21.08.2006;8,256;Mg.;0;2 125;566;4 702
1219/0W/2006;21.08.2006;3,000;Mg.;0;2 125;564;4 703
1220/0W/2006;21.08.2006;1,844;Mg.;0;2 125;565;4 704
1221/0W/2006;22.08.2006;5,000;Mg.;0;2 125;345;4 705
1222/0W/2006;22.08.2006;1,000;Mg.;0;2 125;505;4 706
1223/0W/2006;22.08.2006;2,000;Mg.;0;2 125;507;4 707
1224/0W/2006;22.08.2006;5,000;Mg.;0;2 125;564;4 708
1225/0W/2006;22.08.2006;6,170;Mg.;0;2 125;566;4 709
1226/0W/2006;22.08.2006;5,000;Mg.;0;2 125;568;4 710
1227/0W/2006;22.08.2006;6,156;Mg.;0;2 125;565;4 711
1228/0W/2006;22.08.2006;0,000;Mg.;0;2 125;345;4 712
1229/0W/2006;22.08.2006;8,294;Mg.;0;2 125;566;4 713
1230/0W/2006;23.08.2006;1,000;Mg.;0;2 125;651;4 714
1231/0W/2006;23.08.2006;5,536;Mg.;0;2 125;566;4 715
1232/0W/2006;23.08.2006;5,864;Mg.;0;2 125;564;4 716
1233/0W/2006;25.08.2006;1,400;Mg.;0;644;855;4 717
1234/0W/2006;25.08.2006;2,800;Mg.;0;644;594;4 718
1235/0W/2006;25.08.2006;5,000;Mg.;0;644;568;4 719
1236/0W/2006;25.08.2006;3,800;Mg.;0;644;565;4 720
1237/0W/2006;28.08.2006;5,000;Mg.;0;644;566;4 721
1238/0W/2006;28.08.2006;5,000;Mg.;0;644;345;4 722
1239/0W/2006;28.08.2006;2,136;Mg.;0;644;564;4 723
1240/0W/2006;28.08.2006;3,064;Mg.;0;644;565;4 724
1241/0W/2006;28.08.2006;2,000;Mg.;0;644;271;4 725
1242/0W/2006;28.08.2006;2,000;Mg.;0;644;345;4 726
1243/0W/2006;28.08.2006;6,000;Mg.;0;644;507;4 727
1244/0W/2006;28.08.2006;2,000;Mg.;0;644;564;4 728
1245/0W/2006;28.08.2006;8,600;Mg.;0;644;566;4 729
1246/0W/2006;29.08.2006;0,450;Mg.;0;769;80;4 730
1247/0W/2006;29.08.2006;4,240;Mg.;0;769;247;4 731
1248/0W/2006;29.08.2006;3,000;Mg.;0;769;271;4 732
1249/0W/2006;29.08.2006;0,177;Mg.;0;769;277;4 733
1250/0W/2006;29.08.2006;3,410;Mg.;0;769;355;4 734
1251/0W/2006;29.08.2006;0,008;Mg.;0;769;351;4 735
1252/0W/2006;29.08.2006;6,775;Mg.;0;769;565;4 736
1253/0W/2006;29.08.2006;1,797;Mg.;0;769;507;4 737
1254/0W/2006;29.08.2006;0,140;Mg.;0;769;512;4 738
1255/0W/2006;29.08.2006;0,906;Mg.;0;769;511;4 739
1256/0W/2006;29.08.2006;10,000;Mg.;0;769;564;4 740
1257/0W/2006;29.08.2006;2,400;Mg.;0;769;566;4 741
1258/0W/2006;29.08.2006;0,577;Mg.;0;769;579;4 742
569/1W/2006;14.11.2006;0,960;Mg.;1;1 765;565;4 743
1259/0W/2006;16.11.2006;20,940;Mg.;0;1 900;500;4 744
1260/0W/2006;30.08.2006;2,000;Mg.;0;769;271;4 745
1261/0W/2006;30.08.2006;1,450;Mg.;0;769;276;4 746
1262/0W/2006;30.08.2006;2,500;Mg.;0;769;345;4 747
1263/0W/2006;30.08.2006;1,660;Mg.;0;769;347;4 748
1264/0W/2006;30.08.2006;1,000;Mg.;0;769;349;4 749
1265/0W/2006;30.08.2006;0,570;Mg.;0;769;373;4 750
1266/0W/2006;30.08.2006;0,010;Mg.;0;769;384;4 751
1267/0W/2006;30.08.2006;1,703;Mg.;0;769;376;4 752
1268/0W/2006;30.08.2006;2,500;Mg.;0;769;496;4 753
1269/0W/2006;30.08.2006;6,361;Mg.;0;769;565;4 754
1270/0W/2006;30.08.2006;0,886;Mg.;0;769;566;4 755
1271/0W/2006;11.09.2006;1,069;Mg.;0;769;106;4 756
1272/0W/2006;11.09.2006;5,202;Mg.;0;769;271;4 757
1273/0W/2006;11.09.2006;2,195;Mg.;0;769;276;4 758
1274/0W/2006;11.09.2006;2,350;Mg.;0;769;330;4 759
1275/0W/2006;11.09.2006;10,344;Mg.;0;769;565;4 760
1276/0W/2006;21.09.2006;6,495;Mg.;0;2 125;345;4 761
1277/0W/2006;21.09.2006;0,800;Mg.;0;2 125;351;4 762
1595/0W/2006;22.12.2006;100,000;Mg.;0;827;579;5 207
1278/0W/2006;21.09.2006;2,000;Mg.;0;2 125;376;4 763
1279/0W/2006;21.09.2006;0,320;Mg.;0;2 125;903;4 764
1280/0W/2006;21.09.2006;3,000;Mg.;0;2 125;505;4 765
1281/0W/2006;21.09.2006;4,397;Mg.;0;2 125;564;4 766
1282/0W/2006;21.09.2006;4,328;Mg.;0;2 125;565;4 767
1283/0W/2006;22.09.2006;3,253;Mg.;0;2 125;594;4 768
1284/0W/2006;22.09.2006;3,727;Mg.;0;2 125;595;4 769
1285/0W/2006;22.09.2006;5,763;Mg.;0;2 125;597;4 770
1286/0W/2006;22.09.2006;0,577;Mg.;0;2 125;568;4 771
1287/0W/2006;22.09.2006;2,000;Mg.;0;2 125;271;4 772
1288/0W/2006;22.09.2006;3,000;Mg.;0;2 125;276;4 773
1289/0W/2006;22.09.2006;4,236;Mg.;0;2 125;568;4 774
1290/0W/2006;22.09.2006;5,884;Mg.;0;2 125;566;4 775
1291/0W/2006;25.09.2006;3,000;Mg.;0;2 125;271;4 776
1292/0W/2006;25.09.2006;1,000;Mg.;0;2 125;276;4 777
1293/0W/2006;25.09.2006;1,000;Mg.;0;2 125;345;4 778
1294/0W/2006;25.09.2006;10,070;Mg.;0;2 125;566;4 779
1295/0W/2006;25.09.2006;3,490;Mg.;0;2 125;594;4 780
1296/0W/2006;27.09.2006;9,000;Mg.;0;2 125;651;4 781
1297/0W/2006;27.09.2006;0,850;Mg.;0;2 125;635;4 782
1298/0W/2006;27.09.2006;4,510;Mg.;0;2 125;594;4 783
1299/0W/2006;27.09.2006;6,500;Mg.;0;2 125;565;4 784
1300/0W/2006;29.09.2006;10,000;Mg.;0;2 125;566;4 785
1301/0W/2006;29.09.2006;3,000;Mg.;0;2 125;505;4 786
1302/0W/2006;29.09.2006;1,000;Mg.;0;2 125;345;4 787
1303/0W/2006;29.09.2006;1,120;Mg.;0;2 125;276;4 788
1304/0W/2006;30.09.2006;1,880;Mg.;0;2 125;276;4 789
1305/0W/2006;30.09.2006;7,801;Mg.;0;2 125;565;4 790
1306/0W/2006;30.09.2006;2,000;Mg.;0;2 125;564;4 791
1307/0W/2006;30.09.2006;1,537;Mg.;0;2 125;598;4 792
1308/0W/2006;30.09.2006;4,613;Mg.;0;2 125;566;4 793
1309/0W/2006;02.10.2006;3,000;Mg.;0;2 125;345;4 794
1310/0W/2006;02.10.2006;2,000;Mg.;0;2 125;376;4 795
1311/0W/2006;02.10.2006;5,000;Mg.;0;2 125;496;4 796
1312/0W/2006;02.10.2006;2,000;Mg.;0;2 125;505;4 797
1313/0W/2006;02.10.2006;7,540;Mg.;0;2 125;566;4 798
1314/0W/2006;04.10.2006;3,000;Mg.;0;2 125;564;4 799
1315/0W/2006;04.10.2006;7,847;Mg.;0;2 125;566;4 800
1316/0W/2006;04.10.2006;2,000;Mg.;0;2 125;598;4 801
1317/0W/2006;04.10.2006;1,219;Mg.;0;2 125;605;4 802
1318/0W/2006;04.10.2006;3,254;Mg.;0;2 125;568;4 803
1319/0W/2006;05.10.2006;1,000;Mg.;0;2 125;271;4 804
1320/0W/2006;05.10.2006;1,000;Mg.;0;2 125;276;4 805
1321/0W/2006;05.10.2006;2,000;Mg.;0;2 125;345;4 806
1322/0W/2006;05.10.2006;1,000;Mg.;0;2 125;376;4 807
1323/0W/2006;05.10.2006;1,000;Mg.;0;2 125;505;4 808
1324/0W/2006;05.10.2006;5,000;Mg.;0;2 125;564;4 809
1325/0W/2006;05.10.2006;4,920;Mg.;0;2 125;565;4 810
1326/0W/2006;21.11.2006;5 000,000;Szt.;0;67;604;4 811
570/1W/2006;14.11.2006;2,750;Mg.;1;2 208;564;4 812
571/1W/2006;06.11.2006;2,665;Mg.;1;657;565;4 813
1327/0W/2006;17.11.2006;4,170;Mg.;0;1 050;344;4 814
1328/0W/2006;17.11.2006;0,925;Mg.;0;1 050;350;4 815
1329/0W/2006;17.11.2006;4,835;Mg.;0;1 050;472;4 816
1330/0W/2006;17.11.2006;3,140;Mg.;0;1 050;348;4 817
1331/0W/2006;02.10.2006;50,700;Mg.;0;3 595;531;4 818
1332/0W/2006;09.10.2006;51,450;Mg.;0;3 595;531;4 819
1333/0W/2006;17.11.2006;14,160;Mg.;0;1 900;500;4 820
1334/0W/2006;15.11.2006;5,032;Mg.;0;827;524;4 821
1335/0W/2006;15.11.2006;0,800;Mg.;0;827;525;4 822
1336/0W/2006;15.11.2006;5,356;Mg.;0;827;529;4 823
1337/0W/2006;15.11.2006;13,072;Mg.;0;827;522;4 824
1338/0W/2006;16.11.2006;21,560;Mg.;0;827;522;4 825
1339/0W/2006;23.11.2006;16,460;Mg.;0;1 900;548;4 826
572/1W/2006;06.11.2006;15,220;Mg.;1;2 001;579;4 827
573/1W/2006;14.11.2006;13,660;Mg.;1;1 889;579;4 828
574/1W/2006;15.11.2006;7,040;Mg.;1;1 759;579;4 829
575/1W/2006;15.11.2006;2,030;Mg.;1;3 016;579;4 830
576/1W/2006;16.11.2006;5,928;Mg.;1;1 759;579;4 831
577/1W/2006;20.11.2006;9,000;Mg.;1;1 759;579;4 832
578/1W/2006;29.09.2006;29,595;Mg.;1;1 762;565;4 833
579/1W/2006;13.11.2006;3,440;Mg.;1;313;565;4 834
580/1W/2006;15.11.2006;0,700;Mg.;1;1 765;565;4 835
581/1W/2006;07.09.2006;6,200;Mg.;1;1 763;565;4 836
582/1W/2006;30.10.2006;4,680;Mg.;1;1 763;565;4 837
583/1W/2006;17.11.2006;0,340;Mg.;1;1 765;565;4 838
584/1W/2006;02.11.2006;18,440;Mg.;1;1 756;570;4 839
585/1W/2006;21.11.2006;2,210;Mg.;1;324;570;4 840
586/1W/2006;16.11.2006;13,180;Mg.;1;2 594;564;4 841
587/1W/2006;20.11.2006;10,120;Mg.;1;2 208;564;4 842
588/1W/2006;23.11.2006;5,130;Mg.;1;2 208;564;4 843
1340/0W/2006;24.11.2006;3,000;Mg.;0;3 740;604;4 844
1341/0W/2006;10.10.2006;3,562;Mg.;0;644;106;4 845
1342/0W/2006;10.10.2006;0,180;Mg.;0;644;143;4 846
1343/0W/2006;10.10.2006;0,302;Mg.;0;644;151;4 847
1344/0W/2006;10.10.2006;2,560;Mg.;0;644;260;4 848
1345/0W/2006;10.10.2006;1,667;Mg.;0;644;271;4 849
1346/0W/2006;10.10.2006;2,136;Mg.;0;644;276;4 850
1347/0W/2006;10.10.2006;0,911;Mg.;0;644;277;4 851
1348/0W/2006;10.10.2006;3,371;Mg.;0;644;564;4 852
1349/0W/2006;10.10.2006;2,711;Mg.;0;644;565;4 853
1350/0W/2006;12.10.2006;7,256;Mg.;0;2 125;566;4 854
1351/0W/2006;12.10.2006;0,280;Mg.;0;2 125;512;4 855
1352/0W/2006;12.10.2006;1,164;Mg.;0;2 125;496;4 856
1353/0W/2006;12.10.2006;3,970;Mg.;0;2 125;568;4 857
1354/0W/2006;16.10.2006;3,834;Mg.;0;644;345;4 858
1355/0W/2006;16.10.2006;1,600;Mg.;0;644;349;4 859
1356/0W/2006;16.10.2006;1,000;Mg.;0;644;351;4 860
1357/0W/2006;16.10.2006;0,290;Mg.;0;644;353;4 861
1358/0W/2006;16.10.2006;1,950;Mg.;0;644;357;4 862
1359/0W/2006;16.10.2006;0,282;Mg.;0;644;384;4 863
1360/0W/2006;16.10.2006;0,150;Mg.;0;644;906;4 864
1361/0W/2006;16.10.2006;5,000;Mg.;0;644;564;4 865
1362/0W/2006;16.10.2006;5,293;Mg.;0;644;565;4 866
1363/0W/2006;18.10.2006;8,060;Mg.;0;2 125;568;4 867
