NAZWA_SKROCONA;MIEJSCOWOSC;ULICA;NR_KLIENTA
SOLEC KUJ8016;SOLEC KUJ;LEåNA;8†016
BIA£E B£OTA1812;BIA£E B£OTA;ZIELONKA;1†812
BYDGOSZCZ1813;BYDGOSZCZ;INWALID”W;1†813
WYRZYSK1814;WYRZYSK;PLAC WOJSKA POLSKIEGO;1†814
TORU—1815;TORU—;LIPNOWSKA;1†815
ALEKSANDR”W KUJAWSKI1816;ALEKSANDR”W KUJAWSKI;S£OWACKIEGO;1†816
STAROGARD GDA—SKI1817;STAROGARD GDA—SKI;KOPERNIKA;1†817
STAROGARD GDA—SKI1818;STAROGARD GDA—SKI;CEYNOWY;1†818
LUBICZ1819;LUBICZ;POLIGRAFICZNA;1†819
BYDGOSZCZ1820;BYDGOSZCZ;PRZEMYS£OWA;1†820
BYDGOSZCZ2946;BYDGOSZCZ;WOJSKA POLSKIEGO;2†946
BYDGOSZCZ1821;BYDGOSZCZ;NAKIELSKA;1†821
W£OC£AWEK1822;W£OC£AWEK;W GLOWA;1†822
POZNA—1823;POZNA—;ØEGLARSKA;1†823
INOWROC£AW1826;INOWROC£AW;DWORCOWA;1†826
CHE£M1827;CHE£M;I PU£KU SZWOLEØER”W;1†827
W£OC£AWEK1828;W£OC£AWEK;FREDRY;1†828
OØAR”W2125;OØAR”W;KARSY;2†125
BYDGOSZCZ1830;BYDGOSZCZ;POLANICKA;1†830
POLICE1831;POLICE;;1†831
BYDGOSZCZ1832;BYDGOSZCZ;RYNKOWSKA;1†832
SZCZECINEK1833;SZCZECINEK;;1†833
POZNA—1835;POZNA—;KOLEJOWA;1†835
TORU—1836;TORU—;GAW DY;1†836
TORU—1837;TORU—;LUBELSKA;1†837
SOLEC KUJAWSKI1838;SOLEC KUJAWSKI;LEåNA;1†838
SZPROTAWA2817;SZPROTAWA;KOSZAROWA;2†817
SKARBIMIERZ OSIEDLE1839;SKARBIMIERZ OSIEDLE;TOPOLOWA;1†839
åMIESZKOWO1840;åMIESZKOWO;LEåNA;1†840
KORONOWO1841;KORONOWO;OKOLE;1†841
GDYNIA1842;GDYNIA;PIASKOWA;1†842
UNIS£AW1853;UNIS£AW;CHE£MI—SKA;1†853
LIPKA - S P”£NA KRAJE—SKIEGO7294;LIPKA - S P”£NA KRAJE—SKIEGO;SZKOLNA;7†294
CHOJNICE1848;CHOJNICE;BYDGOSKA;1†848
GDYNIA1843;GDYNIA;HUTNICZA;1†843
GDA—SK1844;GDA—SK;WA£OWA;1†844
KAMIE— KRAJE—SKI1845;KAMIE— KRAJE—SKI;ZAMARTE;1†845
KOWALEWO7635;KOWALEWO;SZYCHOWO;7†635
KOWALEWO POMORSKIE1846;KOWALEWO POMORSKIE;KIE£PINY;1†846
UJåCIE1849;UJåCIE;DWORCOWA 7, KRUSZEWO;1†849
POZNA—1847;POZNA—;SP£AWIE;1†847
INOWROC£AW1850;INOWROC£AW;JACEWO;1†850
BYDGOSZCZ1851;BYDGOSZCZ;USTRONIE;1†851
PI£A1852;PI£A;WARSZTATOWA;1†852
WIERZCHUCIN KR”LEWSKI-KORONOWO1856;WIERZCHUCIN KR”LEWSKI-KORONOWO;KR•PIEWO;1†856
åWINOUJåCIE1857;åWINOUJåCIE;STEYERA;1†857
DZIWN”W1858;DZIWN”W;DZIWNA;1†858
CZARNK”W1859;CZARNK”W;SARBIA;1†859
MIKO£”W1862;MIKO£”W;ØWIRKI I WIGURY;1†862
WROC£AW1860;WROC£AW;PAPROTNA;1†860
POTULICE1861;POTULICE;ALEJA PARKOWA;1†861
POZNA—1863;POZNA—;FORTECZNA;1†863
POZNA—1864;POZNA—;FORTECZNA;1†864
STRUCFO—1891;STRUCFO—;;1†891
BYDGOSZCZ1865;BYDGOSZCZ;FABRYCZNA;1†865
SZCZECIN4448;SZCZECIN;LUDOWA;4†448
SZTUM-ZAJEZIERZE4753;SZTUM-ZAJEZIERZE;;4†753
DZIERZGO—4754;DZIERZGO—;S£ONECZNA;4†754
STARE POLE4755;STARE POLE;BEMA;4†755
MALBORK4756;MALBORK;BOCZNA;4†756
STEGNA4757;STEGNA;DMOWSKIEGO;4†757
POZNA—4758;POZNA—;CZARNKOWSKA;4†758
SZUBIN WIEå4759;SZUBIN WIEå;;4†759
GRYFICE4259;GRYFICE;JASIEL;4†259
BARCIN1866;BARCIN;KANIA;1†866
INOWROC£AW1867;INOWROC£AW;KRUåLIWIEC;1†867
PNIEWY1868;PNIEWY;POZNA—SKA;1†868
TORU—7690;TORU—;CHROBREGO;7†690
SK”RZEWO1869;SK”RZEWO;POZNA—SKA;1†869
PNIEWY1870;PNIEWY;JARZ BINOWA;1†870
LW”WEK-PNIEWY1871;LW”WEK-PNIEWY;S.WITTMANNA;1†871
LW”WEK-PNIEWY1872;LW”WEK-PNIEWY;KRZYWY LAS;1†872
BIA£OåLIWIE1873;BIA£OåLIWIE;LEåNA;1†873
£”Dè2818;£”Dè;BRUKOWA;2†818
KORONOWO1874;KORONOWO;AL.WOLNOåCI;1†874
GDYNIA1875;GDYNIA;JANKA WIåNIEWSKIEGO;1†875
GDA—SK1876;GDA—SK;PO£ ØE/MIA£KI SZLAK;1†876
BYDGOSZCZ1877;BYDGOSZCZ;REKINOWA;1†877
BYDGOSZCZ1878;BYDGOSZCZ;£OCHOWSKA;1†878
KOSZALIN1879;KOSZALIN;BOH.WARSZAWY;1†879
BUDZISZEWSKO7747;BUDZISZEWSKO;BUDZISZEWSKA;7†747
INOWROC£AW1880;INOWROC£AW;POZNA—SKA;1†880
INOWROC£AW1881;INOWROC£AW;MARCINKOWSKIEGO;1†881
KRAJENKA1882;KRAJENKA;Z£OTOWSKA;1†882
GOLUB-DOBRZY—1894;GOLUB-DOBRZY—;SOKO£OWSKA;1†894
BYDGOSZCZ1895;BYDGOSZCZ;GDA—SKA;1†895
POZNA—1896;POZNA—;KR”TKA;1†896
JAB£ONOWO POMORSKIE1897;JAB£ONOWO POMORSKIE;PRZEMYS£OWA;1†897
NAK£O1898;NAK£O;GIMNAZJALNA;1†898
CHODZIEØ1899;CHODZIEØ;£•KOWA;1†899
GNIEW1900;GNIEW;;1†900
MARGONIN1901;MARGONIN;POZNA—SKA;1†901
TARNOWO PODG”RNE1902;TARNOWO PODG”RNE;23 PAèDZIERNIKA;1†902
TORU—1916;TORU—;HEBANOWA;1†916
TOMASZ”W BOLES£AWIECKI1889;TOMASZ”W BOLES£AWIECKI;;1†889
NOWOGR”DEK POM.1888;NOWOGR”DEK POM.;A. MICKIEWICZA;1†888
CETKI1890;CETKI;5;1†890
BIELSKO BIA£A1892;BIELSKO BIA£A;KONWOJOWA;1†892
NIEMCZA1893;NIEMCZA;GENERA£A KAROLA úWIERCZEWSKIEGO;1†893
BYDGOSZCZ1903;BYDGOSZCZ;SZTUMSKA;1†903
BYDGOSZCZ1904;BYDGOSZCZ;WOJSKA POLSKIEGO;1†904
OBORNIKI WIELKOPOLSKIE1905;OBORNIKI WIELKOPOLSKIE;S£ONAWY;1†905
JANIKOWO1906;JANIKOWO;PRZEMYS£OWA;1†906
MiÍdzyrzecz2126;MiÍdzyrzecz;Fabryczna;2†126
W£OC£AWEK1907;W£OC£AWEK;SMOCZA;1†907
Z£OT”W1908;Z£OT”W;£OWIECKA;1†908
WARLUBIE1909;WARLUBIE;WIELKI KOM”RSK;1†909
NAK£O NAD NOTECI•1915;NAK£O NAD NOTECI•;KS. SKARGI;1†915
LIPNO3327;LIPNO;SK PSKA;3†327
£ABISZYN1910;£ABISZYN;£ABISZYN WIEå;1†910
POZNA—1911;POZNA—;GROBLA;1†911
SUCHY LAS1912;SUCHY LAS;STARA DROGA;1†912
LEèNO7427;LEèNO;;7†427
SOPOT1913;SOPOT;AL.NIEPODLEG£OåCI;1†913
BYDGOSZCZ1928;BYDGOSZCZ;KORNOWSKA;1†928
GDYNIA1914;GDYNIA;G”RNICZA;1†914
WAPNO1918;WAPNO;åWIERCZEWSKIEGO;1†918
Z£OTNIKI KUJAWSKIE1919;Z£OTNIKI KUJAWSKIE;TOPOLOWA;1†919
ØYDOWO1920;ØYDOWO;KOåCIUSZKI;1†920
TRZEMESZNO1929;TRZEMESZNO;PIASTOWSKA;1†929
BYDGOSZCZ1921;BYDGOSZCZ;SOLNA;1†921
GNIEZNO1922;GNIEZNO;S£ONECZNA;1†922
WRZEåNIA1923;WRZEåNIA;OBJAZDOWA;1†923
UNIS£AW1927;UNIS£AW;CHE£MI—SKA;1†927
BIA£E B£OTA1948;BIA£E B£OTA;BIA£A;1†948
TUCHOLA7245;TUCHOLA;CHOJNICKA;7†245
WRZESNIA1924;WRZESNIA;AKACJOWA;1†924
ALEKSANDR”W KUJAWSKI1925;ALEKSANDR”W KUJAWSKI;STAWKI;1†925
BYDGOSZCZ1926;BYDGOSZCZ;MOGILE—SKA;1†926
BIA£E B£OTA1930;BIA£E B£OTA;MODRA;1†930
PARKOWO3534;PARKOWO;8A;3†534
PI£A1931;PI£A;GIERYMSKIEGO;1†931
PI£A1932;PI£A;åWIERKOWA;1†932
SUCHY LAS1933;SUCHY LAS;BOGUS£AWSKIEGO;1†933
POZNA—7953;POZNA—;WO£CZY—SKA;7†953
åWIECIE1934;åWIECIE;TOPOLOWA;1†934
RYPIN2937;RYPIN;RUSINOWO;2†937
£”Dè1935;£”Dè;LUDOWA;1†935
KONIN1936;KONIN;SULA—SKA;1†936
KORONOWO1937;KORONOWO;ALEJA WOLNOåCI;1†937
WI CBORK1938;WI CBORK;GDA—SKA;1†938
INOWROC£AW1939;INOWROC£AW;POZNA—SKA;1†939
K£ODAWA1940;K£ODAWA;SANTOCKO;1†940
£”Dè1941;£”Dè;AL.PI£SUDSKIEGO;1†941
£”Dè1942;£”Dè;OLECHOWSKA;1†942
BUKOWIEC-BUDZY—7371;BUKOWIEC-BUDZY—;Bukowiec;7†371
INOWROC£AW1943;INOWROC£AW;POZNA—SKA;1†943
TUCHOLA1944;TUCHOLA;;1†944
TORU—1945;TORU—;åWI TOPE£KA;1†945
SOCHACZEW4131;SOCHACZEW;KUSOCI—SKIEGO;4†131
SZCZECIN4262;SZCZECIN;CHORZOWSKA;4†262
NIEBULL4256;NIEBULL;SCHMIEDESTRASSE;4†256
BYDGOSZCZ1946;BYDGOSZCZ;KS.J.SCHULZA;1†946
W•BRZEèNO1947;W•BRZEèNO;OKR ØNA;1†947
SZAMOCIN1949;SZAMOCIN;ROLNA;1†949
OSIELSKO1950;OSIELSKO;SZOSA GDA—SKA;1†950
£”Dè1955;£”Dè;DEMOKRATYCZNA;1†955
D•BROWA1956;D•BROWA;SZKOLNA;1†956
POZNA—1957;POZNA—;KNAPOWSKIEGO;1†957
CZERWONAK1958;CZERWONAK;OS.40-LECIA PRL;1†958
POZNA—1951;POZNA—;WRONCZY—SKA;1†951
POZNA—1952;POZNA—;PRZE£ CZ;1†952
PUSZCZYKOWO-POZNA—1953;PUSZCZYKOWO-POZNA—;GO£ BIA;1†953
PAKOå∆1954;PAKOå∆;INOWROC£AWSKA;1†954
KOCZA£A3514;KOCZA£A;PRZEMYS£OWA;3†514
KWIDZYN1959;KWIDZYN;LOTNICZA;1†959
TARNOWO PODG”RNE1960;TARNOWO PODG”RNE;L•KOWA;1†960
BYDGOSZCZ1961;BYDGOSZCZ;WOJSKA POLSKIEGO;1†961
CZERWONAK1963;CZERWONAK;OS.40-LECIA PRL;1†963
S£AWNO4005;S£AWNO;KOSZALI—SKA;4†005
PI£A1964;PI£A;LUTYCKA;1†964
KOSZALIN1965;KOSZALIN;PRZEMYS£OWA;1†965
S P”LNO KRAJE—SKIE1967;S P”LNO KRAJE—SKIE;KORONOWSKA;1†967
WARSZAWA1968;WARSZAWA;PRZASNYSKA;1†968
BIESIEKIERZ1969;BIESIEKIERZ;STARE BIELICE;1†969
GNIEZNO1970;GNIEZNO;22 LIPCA;1†970
TORU—1971;TORU—;OKR ØNA;1†971
S£UØEWO1972;S£UØEWO;POLNA;1†972
W£OC£AWEK2813;W£OC£AWEK;£ GSKA;2†813
UJåCIE1973;UJåCIE;BYSZKI;1†973
PI£A1974;PI£A;WYSPIA—SKIEGO;1†974
KUTNO1975;KUTNO;ZAP£OTEK;1†975
W£OC£AWEK1976;W£OC£AWEK;KRZYWA G”RA;1†976
LEåNO1977;LEåNO;;1†977
BYDGOSZCZ1978;BYDGOSZCZ;AL.JANA PAW£A II;1†978
WRZOSOWA1979;WRZOSOWA;KATOWICKA;1†979
BYDGOSZCZ1980;BYDGOSZCZ;OGI—SKIEGO;1†980
BYDGOSZCZ1981;BYDGOSZCZ;O£OWIANA;1†981
POZNA—1982;POZNA—;SZWEDZKA;1†982
GDYNIA7207;GDYNIA;UNRUGA;7†207
POPOWO KOåCIELNE1983;POPOWO KOåCIELNE;NIEåWIASTOWICE;1†983
GDYNIA1984;GDYNIA;DEMPTOWO;1†984
WEJHEROWO1985;WEJHEROWO;SOBIESKIEGO;1†985
CZARNK”W1986;CZARNK”W;ZOFIOWO;1†986
£”Dè1991;£”Dè;PR•DZY—SKIEGO;1†991
KOSZALIN1989;KOSZALIN;PIASTOWSKA;1†989
KOSZALIN1987;KOSZALIN;LNIANA;1†987
KOSZALIN1988;KOSZALIN;BOHATER”W WARSZAWY;1†988
PI£A1990;PI£A;KRZYWA;1†990
MIROS£AWIEC1992;MIROS£AWIEC;;1†992
PI£A1997;PI£A;POZNA—SKA;1†997
JEZIORA WIELKIE1998;JEZIORA WIELKIE;NOWA WIEå;1†998
BOLECHOWO1999;BOLECHOWO;OBORNICKA;1†999
TRZEMESZNO2000;TRZEMESZNO;GNIEèNIE—SKA;2†000
OPOLE2001;OPOLE;CEMENTOWA;2†001
CHOJNICE2002;CHOJNICE;£UØYCKA;2†002
CHOJNICE2003;CHOJNICE;14 LUTEGO;2†003
£ CZYCA- WILCZKOWICE7208;£ CZYCA- WILCZKOWICE;57 PU£KU PIECHOTY WIELKOPOLSKIEJ;7†208
Z£OT”W2004;Z£OT”W;JASTROWSKA;2†004
TORU—2005;TORU—;KLUCZYKI;2†005
GDA—SK3772;GDA—SK;GRUNWALDZKA;3†772
ROJEWO-GNIEWKOWO2019;ROJEWO-GNIEWKOWO;JEZUICKA STRUGA;2†019
TORU—2020;TORU—;SOBIESKIEGO;2†020
TORU—2021;TORU—;OK”LNA;2†021
CHOJNICE2022;CHOJNICE;KOåCIERSKA;2†022
BYDGOSZCZ2025;BYDGOSZCZ;WA£Y JAGIELLO—SKIE;2†025
RYCZYW”£2023;RYCZYW”£;S.MIKO£AJCZYKA;2†023
S P”LNO KRAJE—SKIE2026;S P”LNO KRAJE—SKIE;PRZEMYS£OWA;2†026
WARSZAWA2027;WARSZAWA;KAMIONKOWSKA;2†027
BYDGOSZCZ2030;BYDGOSZCZ;TORU—SKA;2†030
JASTROWIE2031;JASTROWIE;ROOSEVELTA;2†031
BUDZY—2032;BUDZY—;OSN”WKI;2†032
W£OC£AWEK2033;W£OC£AWEK;LIPOWA;2†033
KOKOSZKOWY2034;KOKOSZKOWY;GDA—SKA;2†034
åWIECIE1993;åWIECIE;SULNOWO;1†993
GDYNIA7599;GDYNIA;LIDZKA;7†599
BYDGOSZCZ8015;BYDGOSZCZ;KATOWICKA;8†015
PI£A1994;PI£A;BOHE—SKIEGO;1†994
BIA£OåLIWIE1995;BIA£OåLIWIE;CZECHA;1†995
WA£CZ1996;WA£CZ;BRZEZINKI;1†996
TORU—2006;TORU—;POZNA—SKA;2†006
BYDGOSZCZ2035;BYDGOSZCZ;O£OWIANA;2†035
INOWROC£AW2036;INOWROC£AW;G”RNICZA;2†036
SCHWEDT5058;SCHWEDT;FORSTSTRASSE;5†058
NAK£O2037;NAK£O;STRAØACKA;2†037
SOPOT2038;SOPOT;KASZTANOWA;2†038
UJåCIE2040;UJåCIE;HUTY UJåCIE;2†040
CHE£MØA2007;CHE£MØA;STRUØAL;2†007
SZYD£OWO2008;SZYD£OWO;NOWY DW”R;2†008
BYDGOSZCZ2009;BYDGOSZCZ;ØEGLARSKA;2†009
K PA MA£A7478;K PA MA£A;;7†478
PABIANICE2010;PABIANICE;M.J. PI£SUDSKIEGO;2†010
CHE£M2053;CHE£M;I PU£KU SZWOLEØER”W;2†053
BARCIN2014;BARCIN;BARCIN WIEå;2†014
CHOJNICE2015;CHOJNICE;PLAC PIASTOWSKI;2†015
POZNA—7960;POZNA—;MåCIBORA;7†960
CHOJNICE2016;CHOJNICE;PRZEMYS£OWA;2†016
CZ£UCH”W2017;CZ£UCH”W;ZAG”RKI;2†017
POZNA—2039;POZNA—;OBORNICKA;2†039
MI DZYRZECZ2011;MI DZYRZECZ;FABRYCZNA;2†011
NAK£O NAD NOTECI•2012;NAK£O NAD NOTECI•;DWORCOWA;2†012
TR BACZEW2013;TR BACZEW;Przemys≥owa;2†013
RADWANKI2041;RADWANKI;70;2†041
£OCHOWO2042;£OCHOWO;BUKOWA;2†042
KAMIE— KRAJE—SKI2043;KAMIE— KRAJE—SKI;ZAMARTE;2†043
SZUBIN2044;SZUBIN;WOLWARK;2†044
KACZORY2046;KACZORY;MORZEWO;2†046
JASTROWIE2045;JASTROWIE;WOJSKA POLSKIEGO;2†045
GDA—SK2047;GDA—SK;SANDOMIERSKA;2†047
GDYNIA2048;GDYNIA;TELEWIZYJNA;2†048
£ GOWO-RUSOCIN2049;£ GOWO-RUSOCIN;GDA—SKA;2†049
INOWROC£AW2056;INOWROC£AW;KR”LOWEJ JADWIGI;2†056
TUCHOLA7422;TUCHOLA;S POLE—SKA;7†422
BYDGOSZCZ7968;BYDGOSZCZ;W•BRZESKA;7†968
GDA—SK-OLSZYNKA2050;GDA—SK-OLSZYNKA;MAKI;2†050
MROCZA2051;MROCZA;KONSTANTOWO;2†051
P£OCK2052;P£OCK;PRZEMYS£OWA;2†052
POZNA—2054;POZNA—;NAD BOGDANK•;2†054
M£AWA-M£AWKA7349;M£AWA-M£AWKA;;7†349
UZDOWO2076;UZDOWO;GRALEWO PKP;2†076
NAK£O2055;NAK£O;KARNOWSKA;2†055
NOWY CIECHOCINEK2855;NOWY CIECHOCINEK;KLONOWA;2†855
PI£A2057;PI£A;MOTYLEWSKA;2†057
KCYNIA2058;KCYNIA;MIASTOWICE;2†058
W£OC£AWEK2059;W£OC£AWEK;GRUNWALDZKA;2†059
INOWROC£AW2060;INOWROC£AW;WIEJSKA;2†060
CHE£MNO2061;CHE£MNO;P£K.JASTRZ BSKIEGO;2†061
P£OCK2062;P£OCK;MISJONARSKA;2†062
P£OCK2063;P£OCK;LENARTOWICZA;2†063
P£OCK2064;P£OCK;CHABROWA;2†064
P£OCK2065;P£OCK;HARCERZA A.GRADOWSKIEGO;2†065
P£OCK2066;P£OCK;GRANICZNA;2†066
P£OCK2067;P£OCK;KUTNOWSKA;2†067
P£OCK2068;P£OCK;PADLEWSKIEGO;2†068
WI CBORK2069;WI CBORK;BOWID;2†069
CHOJNICE2070;CHOJNICE;LUDOWA;2†070
KAMIE— KRAJE—SKI2071;KAMIE— KRAJE—SKI;P£OCICZ;2†071
CZ£UCH”W2072;CZ£UCH”W;CHROBREGO;2†072
WI CBORK2073;WI CBORK;S£ONECZNA;2†073
MROCZA2074;MROCZA;DZIEWIANOWO;2†074
BYDGOSZCZ7209;BYDGOSZCZ;SZUBI—SKA;7†209
CHWASZCZYNO2075;CHWASZCZYNO;TELEWIZYJNA;2†075
BYDGOSZCZ2077;BYDGOSZCZ;ØURAWINOWA;2†077
KRAK”W2078;KRAK”W;P£K. ST. DABKA;2†078
åWIECIE2079;åWIECIE;BYDGOSKA;2†079
KO£O7211;KO£O;ØEROMSKIEGO;7†211
ZGIERZ2116;ZGIERZ;£Íczycka;2†116
W•GROWIEC2085;W•GROWIEC;£ GOWO;2†085
£”Dè2086;£”Dè;èR”D£OWA;2†086
BYDGOSZCZ2087;BYDGOSZCZ;DWORCOWA;2†087
KORONOWO7402;KORONOWO;STARY DW”R 34;7†402
WARSZAWA2088;WARSZAWA;TWARDA;2†088
KALISZ2089;KALISZ;WROC£AWSKA;2†089
BYDGOSZCZ2090;BYDGOSZCZ;NAKIELSKA;2†090
GOSTYCYN2091;GOSTYCYN;G£”WNA;2†091
S P”LNO KRAJE—SKIE2092;S P”LNO KRAJE—SKIE;ZALESIE;2†092
TUCHOLA2093;TUCHOLA;CEGIELNIANA;2†093
TUCHOLA2094;TUCHOLA;DR KARASIEWICZA;2†094
GOSTYCYN2095;GOSTYCYN;PI£KARSKA;2†095
CZERSK2096;CZERSK;BROWARNA;2†096
Z£OTOWO2097;Z£OTOWO;KLASKOWSKA;2†097
INOWROC£AW2098;INOWROC£AW;£OJEWO;2†098
W£OC£AWEK2099;W£OC£AWEK;TORU—SKA;2†099
£”Dè2100;£”Dè;CZERWONYCH MAK”W;2†100
£”Dè2101;£”Dè;£OZOWA;2†101
KONIN2102;KONIN;OLSZEWSKA;2†102
KONIN2103;KONIN;PRZEMYS£OWA;2†103
CIELE2127;CIELE;U£A—SKA;2†127
BYDGOSZCZ2105;BYDGOSZCZ;GRUDZI•DZKA;2†105
SZCZECIN8079;SZCZECIN;NAD ODR•;8†079
DRZYCIM7617;DRZYCIM;£•KOWA;7†617
BYDGOSZCZ2106;BYDGOSZCZ;FORDO—SKA;2†106
NAK£O2107;NAK£O;PRZEMYS£OWA;2†107
SIEMIROWICE5295;SIEMIROWICE;;5†295
GDYNIA5296;GDYNIA;SK£ODOWSKIEJ;5†296
CIELE5297;CIELE;U£A—SKA;5†297
åREM2108;åREM;WARSZTATOWA;2†108
SZUBIN2109;SZUBIN;KOWALEWO;2†109
RYPIN2080;RYPIN;POLNA;2†080
BRODNICA2081;BRODNICA;åWIERKOWA;2†081
BRZOZA7616;BRZOZA;£ABISZY—SKA;7†616
BRODNICA2082;BRODNICA;£YSKOWSKIEGO;2†082
UNIS£AW2083;UNIS£AW;SZEROKA;2†083
CZERSK2084;CZERSK;MLECZARSKA;2†084
POZNA—2110;POZNA—;DRUZYNOWA;2†110
POZNA—2111;POZNA—;NIESZAWSKA;2†111
åWIECIE2117;åWIECIE;MARII D•BROWSKIEJ;2†117
BRUSY2118;BRUSY;MåCIWOJA II;2†118
PI£A2119;PI£A;AL.WP.;2†119
RADOM2128;RADOM;ØEROMSKIEGO;2†128
KOSZALIN2129;KOSZALIN;KOLEJOWA;2†129
KOSZALIN2130;KOSZALIN;SZCZECI—SKA;2†130
KOSZALIN2131;KOSZALIN;KRETOMI—SKA;2†131
KOSZALIN2132;KOSZALIN;KOSZALI—SKA;2†132
KOSZALIN2133;KOSZALIN;PO£CZY—SKA;2†133
KOSZALIN2134;KOSZALIN;TOPOLOWA;2†134
BYDGOSZCZ2135;BYDGOSZCZ;DESZCZOWA;2†135
BYDGOSZCZ2136;BYDGOSZCZ;BRZOZOWA;2†136
Z£OT”W2137;Z£OT”W;WAWRZYNIAKA;2†137
OKONEK2138;OKONEK;1 MAJA;2†138
Z£OT”W2139;Z£OT”W;KUJA—SKA;2†139
INOWROC£AW2856;INOWROC£AW;CICHA;2†856
BYDGOSZCZ7244;BYDGOSZCZ;ENERGETYCZNA;7†244
LISI OGON2145;LISI OGON;TORU—SKA;2†145
BYDGOSZCZ2146;BYDGOSZCZ;JASINIECKA;2†146
KRUSZYN2147;KRUSZYN;KRUSZYN;2†147
DESZCZNO2148;DESZCZNO;DZIERØ”W;2†148
NAK£O2149;NAK£O;KOåCIELNA;2†149
ALEKSANDR”W KUJAWSKI2150;ALEKSANDR”W KUJAWSKI;STAWKI;2†150
SZUBIN2151;SZUBIN;GEN.J.BEMA;2†151
GRUDZI•DZ2152;GRUDZI•DZ;BEMA;2†152
MURZYNOWO2820;MURZYNOWO;;2†820
POZNA—2120;POZNA—;BUKOWSKA;2†120
LASKOWICE2121;LASKOWICE;PARKOWA;2†121
KWIDZYN2122;KWIDZYN;TORU—SKA;2†122
W£OC£AWEK2123;W£OC£AWEK;;2†123
PAKOå∆2140;PAKOå∆;INOWROC£AWSKA;2†140
POZNA—2153;POZNA—;WRONCZY—SKA;2†153
POZNA—2154;POZNA—;GRANOWSKA;2†154
åLESIN2155;åLESIN;NAKIELSKA;2†155
BYDGOSZCZ2156;BYDGOSZCZ;WOJSKA POLSKIEGO;2†156
£”Dè2141;£”Dè;Leúna 3;2†141
CZERNIEJEWO2142;CZERNIEJEWO;;2†142
BYDGOSZCZ2157;BYDGOSZCZ;GRUDZI•DZKA;2†157
BYDGOSZCZ7341;BYDGOSZCZ;SMUKALSKA;7†341
WITKOWO2143;WITKOWO;DWORCOWA;2†143
D•BROWA2144;D•BROWA;S£ABOSZEWKO;2†144
KCYNIA2165;KCYNIA;MALICE;2†165
PI£A2166;PI£A;SIEMIRADZKIEGO;2†166
NAK£O2167;NAK£O;STRAZACKA;2†167
USTKA2168;USTKA;L DOWO;2†168
USTKA2169;USTKA;USTKA;2†169
KUTNO2182;KUTNO;GRUNWALDZKA;2†182
NOWA WIEå WIELKA7389;NOWA WIEå WIELKA;WOJSKA POLSKIEGO;7†389
KRUSZWICA2179;KRUSZWICA;NIEPODLEG£OåCI;2†179
DOBRO—2183;DOBRO—;TOROWA;2†183
DZIA£DOWO2184;DZIA£DOWO;OLSZTY—SKA;2†184
BYDGOSZCZ2185;BYDGOSZCZ;åLESI—SKA;2†185
WA£CZ7887;WA£CZ;BYDGOSKA;7†887
INOWROC£AW2178;INOWROC£AW;åREDNIA;2†178
WA£CZ2186;WA£CZ;WOJ. POLSKIEGO;2†186
CHOJNICE2188;CHOJNICE;åWI TOPE£KA;2†188
CHOJNICE2189;CHOJNICE;ANGOWICKA;2†189
BYDGOSZCZ7671;BYDGOSZCZ;STAWOWA;7†671
D BNO2194;D BNO;MICKIEWICZA;2†194
KAMIE— KRAJ.2190;KAMIE— KRAJ.;;2†190
GOSTYCYN2191;GOSTYCYN;KAMIENICA;2†191
CHE£MØA2192;CHE£MØA;TORU—SKA;2†192
KOWALEWO POMORSKIE2195;KOWALEWO POMORSKIE;MARTYNIEC;2†195
P£OCK2196;P£OCK;MISJONARSKA;2†196
GDA—SK3737;GDA—SK;BA£TYCKA;3†737
P£O—SK2197;P£O—SK;MAZOWIECKA;2†197
POZNA—2198;POZNA—;PTASIA;2†198
POZNA—2199;POZNA—;G”RECKA;2†199
TUR2200;TUR;STRAØACKA;2†200
JASTROWIE2376;JASTROWIE;NARUTOWICZA;2†376
RUMIA2217;RUMIA;D BOG”RZE;2†217
Z£OT”W2218;Z£OT”W;PLAØOWA;2†218
BYDGOSZCZ2219;BYDGOSZCZ;GLINKI;2†219
KOSZALIN2220;KOSZALIN;PRZEMYS£OWA;2†220
BABICE NOWE4129;BABICE NOWE;OGRODNICZA;4†129
R BIECHOWO/GDA—SK4264;R BIECHOWO/GDA—SK;S£OWACKIEGO;4†264
BYDGOSZCZ5005;BYDGOSZCZ;FORDO—SKA;5†005
POZNA—2158;POZNA—;T. ZANA;2†158
POZNA—2159;POZNA—;PTASIA;2†159
ALEKSANDR”W KUJAWSKI7468;ALEKSANDR”W KUJAWSKI;NARUTOWICZA;7†468
POZNA—2160;POZNA—;CHOCHO£OWSKA;2†160
GDA—SK3521;GDA—SK;ZAWODZIE 21;3†521
STARACHOWICE2201;STARACHOWICE;RADOMSKA;2†201
INOWROC£AW-CIEåLIN2161;INOWROC£AW-CIEåLIN;CIEåLIN;2†161
KCYNIA2162;KCYNIA;POLNA;2†162
£OWICZ2163;£OWICZ;;2†163
CHODZIEØ2164;CHODZIEØ;S£ONECZNA;2†164
USTKA2170;USTKA;WESTERPLATTE;2†170
BYT”W2171;BYT”W;GDY—SKA;2†171
BOBOLICE2172;BOBOLICE;FABRYCZNA;2†172
S£UPSK2173;S£UPSK;KO££•TAJA;2†173
